COUNTY 	PROJECT NAME 	CYCLE 	PROJECT ADDRESS 	PROJ CITY 	PROJ ZIP 	APPLICANT/OWNER NAME 	HDGP $ 	HOME $ 	FHTF $ 	LIHTC9 $ 	HELP $ 	OAHTC $ 	GHAP $ 	HPF $ 	LIHTC4 $ 				
COUNTY 	PROJECT NAME 	LIHTC EQUITY $ 	LIFT $ 	OHCS LOAN $ 	TYPE OHCS LOAN 	OTHER 	AWHTC $ 	FWHDA $ 	MHHF $ 	PSH $ 	LIWX / OMEP $ 	TOTAL PROJECT COST 	TERM 	TYPE 	POPULATION 	TOTAL UNITS 	PRES 	#PBA 	Estimated 
Multnomah 	Maryland Overlook 	22672612	8762500	38871000	Conduit 	0	0	0	0	0	200000	54082827	60	NC 	FAM WF 	171	N 	0	? 
Multnomah 	Montana Vistas, The 	11674739	3612427	14524739	Conduit 	0	0	0	0	0	120000	27066370	60	NC 	FAM WF 	75	N 	0	2022-03-31 00:00:00
Multnomah 	Park Avenue Apts (Portland) 	7075652	0	8962652	Conduit 	0	0	0	0	0	0	19207772	60	AR 	DIS FAM HIV SEN VETS 	91	N 	0	2022-08-25 00:00:00
Multnomah 	Splash Apts 	8786866	0	14801295	Conduit 	0	0	0	0	0	0	24865763	30	NC 	DIS FAM WF 	219	N 	0	2023-12-31 00:00:00
Multnomah 	Stark Street Housing 	11319564	3812500	18210764	Conduit 	0	0	0	0	0	135000	37252084	30	NC 	HOM FAM 	93	N 	16	2022-11-01 00:00:00
Multnomah 	Susan Emmons 	18627822	0	21700000	Conduit 	0	0	0	0	0	279999	47705827	30	NC 	HOM SEN WF 	146	P 	48	2022-05-31 00:00:00
Multnomah 	Tiller Terrace 	23234541	0	34500000	Conduit 	0	0	0	0	0	0	66506870	30	NC 	FAM WF 	214	N 	0	2023-07-31 00:00:00
Multnomah 	Tistilal Village Redevelopment 	17200000	0	0	0	0	0	0	0	0	42630	25164585	60	NC 	CH FAM HOM 	57	No 	24	2023-06-30 00:00:00
Multnomah 	USA Powell 	18488530	15200000	19581000	Conduit 	0	0	0	0	0	550888	56539383	30	NC 	FAM PI WF 	165	N 	0	2022-12-16 00:00:00
Polk 	La Creole Manor 	3765513	0	6308000	Conduit 	0	0	0	0	0	0	12000595	60	AR 	FAM 	20	Yes 	0	2022-09-01 00:00:00
Tillamook 	Golden Eagle II 	8270500	0	0	0	0	0	0	0	0	0	10888853	60	AR 	FAM SEN 	33	Yes 	32	2022-11-30 00:00:00
Tillamook 	Nestucca Ocean Apts 	2827217	5750000	6277500	Conduit 	0	0	0	0	0	0	9181340	60	NC 	DIS FAM WF 	46	N 	8	2023-06-30 00:00:00
Umatilla 	Moorehouse Apts 	5483612	4150000	9517500	Conduit 	0	0	0	0	0	0	14153224	60	NC 	FAM WF 	60	N 	0	2023-08-01 00:00:00
Umatilla 	South Hill Commons 	9681738	9037574	15019300	Conduit 	0	0	0	0	0	0	21784751	60	NC 	DIS FAM HOM WF 	70	N 	0	2023-08-01 00:00:00
Umatilla 	Wildflower Apts 	9808259	0	12100000	Conduit 	5870492	0	0	0	0	150000	23961784	60	NC 	FAM WF 	80	N 	0	2023-06-30 00:00:00
Union 	Thunderbird Apartments 	2892500	0	0	0	0	0	0	0	0	0	7436412	60	AR 	FAM 	40	No 	40	2022-10-01 00:00:00
Union 	Timber Ridge 	5730163	7884840	19700000	Conduit 	0	0	0	0	0	286640	25961509	30	NC 	FAM 	104	N 	45	2022-12-25 00:00:00
W ashington 	Aloha Family Housing 	12187586	2890000	21087000	Conduit 	0	0	0	0	0	127715	30652665	60	NC 	FAM WF 	82	N 	0	2023-05-15 00:00:00
W ashington 	Dartmouth Crossing 	13919078	6875000	22803000	Conduit 	0	0	0	0	0	0	32879039	60	NC 	DIS FAM WF 	85	N 	0	2023-06-20 00:00:00
